page_number,page_id,source_member,legacy_route,suggested_canonical_route,suggested_route_confidence,auto_seeded_gold_route_label,human_gold_route_label,final_gold_route_label,decision_source,final_review_status,human_review_required,review_priority,review_notes,source_review_file,ocr_word_count,part_number_count,source_image_path,ocr_sample_text
208,t_p_120_1176_p000208,00000208.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,119,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000208.tif,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
a 40
wy TNS 4} \
Wal)
‘ PNY \\
ps *s 20
Qe \\ 30
180 . \ iN
~ 20
(C) iv
70 30
Sa
are il|(@a) ©
SAO
190 10. A <4
260 Jy (A)
210 ‘Sy
270 | RY (D) Je
| mC pele |
Ss 7 XQ re 140
20-4 . SS 170
! 150
aa Ut (D) 160
80
ral 80 .
“0° aug) 190 260 y0 80
220 230 \ 100 145 A
| 90 ol, 9
| Se7 90 He 67] 115
| © ws /TMa y
260 |S 100 100 / *¥56
&? | 130 KGL 125
oo 110 6
260 — 100 115
250 —
120TP250044.MCE
Double Passenger Seat (120-50648-009)
Figure 34
Sheet 1
EFFECTIVITY: ALL
25 21 00 Page 1153
T.P. 120/1176 Sep 30/98
"
209,t_p_120_1176_p000209,00000209.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,211,8,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000209.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK Maer EODE. FROM | PER
NUMBER TO ASSY
34 - | 120-50648-009 DOUBLE PASSENGER SEAT ASSY............ VS4956 A REF
1 | 120-29068-075 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-100)..... 0... eeeeeecceeeceeeeeeeeeeeeeeees VS4956 1
10 | 120-33774-001 . LINING ASSY., SEAT BOTTOM................. VS4956 2
20 | 120-42221-001 . LINING ASSY., SEAT BACKREST.............. VS4956 2
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 2
40 | 120-45726-001 . COVER, PLASTIC... cceeeeeeseeeeeeeees VS4956 B 2
50 | 120-36842-003 . STOWAGE ASSY., LIFE JACKET............... VS4956 2
ATTACHING PARTS
60 | 1002-F . FASTENER BUTTON, MALE.................00. E075221 8
70 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE... 8
80 | PE915051-1-PT / SEAT BELT... cccccccceeseesstssseeeseeeees VS4956 A 2
ATTACHING PARTS
90 |MS21042L4 NUT occ cece cece cence eeeeeee seat seeaaaa eee 3
1"
210,t_p_120_1176_p000210,00000210.tif,table,detailed_parts_list,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,172,7,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000210.tif,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
34 180 | 120-37313-001 . HOLDER, MAGAZINE................c cece VS4956 2
ATTACHING PARTS
-185 | 1002-F . FASTENER BUTTON, MALE.................02. E075221 4
-186 | H14-04 NUT cece cee e eee e eee s eae enneeeeeeeeeeeeeeeees V15653 4
-187 | AN960-3L © WASHER 2... eee ccccececcceeetsnsssessaeeeeenees 4
-188 | MS24693-C5 SCREW ccc ccccccceeeceececeeeeeeseeetntsteaaeaees 4
190 | 120-40636-001 . LINING ASSY, - ARMREST ............00::cee VS4956 3
200 | AM03078-30 ASHTRAY uo. cccccccccccccccccceecceeetseetsassaneeaaeees E065846 2
210 | 120-41475-001 . COVER, TRIM, FRONT................cceeeeees VS4956 1
220 | 120-41475-003 . COVER, TRIM, FRONT................cceeeeees VS4956 2
230 | 120-41474-002 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
240 | 120-41231-001 .COVER,TRIM,REAR-MOVABLEARMREST VS4956 2
ATTACHING PARTS
250 | PE17001-"
211,t_p_120_1176_p000211,00000211.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,100,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000211.tif,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

40

200

SX

AS

SN

\

20

30

L

a

\

»

20

280 180

70

190

HO

30

<e

Le

<SN

r—

EL

(FU)

(x) ®)

50

CIE

QQ

<S

pa

(A) B)

210

10

<

QD

230

280

<9

220

280

QW

©) ©

SY

y

Ib

@

270

10

150

170

pee

(D) a

80 80

10

80

210

280

220

240 \

<i,

oh

90 90° /

<

110

90

280 |

100 100

Cl

130

110

Cf

120

100

v0 AC

200

120TP250046.MCE

Double Passenger Seat (120-61382-001)

Figure 35

Sheet 1

EFFECTIVITY: ALL

25-21-00

T.P. 120/1176

Page 1156

Sep 30/98
"
212,t_p_120_1176_p000212,00000212.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,196,8,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000212.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
35 - | 120-61382-001 DOUBLE PASSENGER SEAT ASSY............ VS4956 | 304/999} REF
1 | 120-29068-077 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-90) oo cece eee eeeeeteeeeeeeee VS4956 1
10 | 120-337 74-001 . LINING ASSY., SEAT BOTTOM................ VS4956 2
20 | 120-42221-001 . LINING ASSY., SEAT BACKREST.............. VS4956 2
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST ............... VS4956 2
40 | 120-45726-001 . COVER, PLASTIC... ceceeceeennees VS4956 A 2
50 | 120-36842-001 . STOWAGE ASSY., LIFE JACKET.............. VS4956 2
ATTACHING PARTS
60 | 1002-F . FASTENER BUTTON, MALE.................02. E075221 8
70 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE ... 8
80 | PE915051-1-PT / SEAT BELT... ccccccccensssneesseeeeeeeees VS4956 2
ATTACHING PARTS
90 | MS21042L4 NC re 3
100 | PE64005-1 SS) OLS) a C 4
110 | NAS1149C0432R WA"
213,t_p_120_1176_p000213,00000213.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,183,8,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000213.tif,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM PART NUMBER STOCK Maer EODE. FROM PER
NUMBER TO ASSY
35 ATTACHING PARTS
-185 | 1002-F . FASTENER BUTTON, MALE.............000.0... E075221 4
-186 | H14-04 Nh V15653 4
-187 | AN960-3L ~ WASHER... oo. c ccc cccccccccceccceceecceuceseceaseeaceeaes 4
-188 | MS24693-C5 SCREW. .0.....cccccccccccccccccccceccceuceueceneeuneeeceeaes 4
190 | 120-61410-001 . TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-113)........... VS4956 2
200 | 120-47462-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113)........0. VS4956 | 304/315 2
-201 | 120-61610-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113)........0. VS4956 | 316/999 2
210 | 120-40636-001 . LINING ASSY, - ARMREST .........0.cc. VS4956 3
220 | 120-41475-001 . COVER, TRIM, FRONT ..0..... ee. VS4956 3
230 | 120-41474-002 . COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
240 | 120-41231-001 .COVER,TRIM,REAR-MOVABLEARMREST VS"
214,t_p_120_1176_p000214,00000214.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,97,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000214.tif,"MAINTENANCE MANUAL WITH

-< EMBRAER

ILLUSTRATED PARTS LIST

20

160

SA

AN

30

20

ah

a

\\

CQ

N

30

240 4140

150

=,

Se

(a) (8

a

1D

SF;

170

Zs

(A) &)

190

10

Sa

180

240

<s

QD

SF

og].

240 —*

f

CT

SS

230

S

y

10

aot

110

130

120

40

80

170

240

70

40

180

200

60

SS

50 so /

<,

70

70

60 60

<,

50

240 | 6

C7

90

Cf

80

70

60

230

“—~ 220

210

120CMM251002.MCE

Double Passenger Seat (120-61382-501)

Figure 35A

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1158A

T.P. 120/1176

Jan 15/01
"
215,t_p_120_1176_p000215,00000215.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,203,8,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000215.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK Maer EODE. FROM | PER
NUMBER TO ASSY
35A - | 120-61382-501 DOUBLE PASSENGER SEAT ASSY............ VS4956 | 339/999} REF
1 | 120-29068-077 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-90) ..... oe eeeeeeeeeeeeeeeeeeeeeeeeeeeees VS4956 1
10 | 120-49362-001 . LINING ASSY., SEAT BOTTOM................. VS4956 2
-11 | 120-37314-001 Ad BOT 34 D ee VS4956 1
20 | 120-62399-001 . LINING ASSY., SEAT BACKREST.............. VS4956 2
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST .............. VS4956 2
ATTACHING PARTS
40 | PE915051-1-PT SEAT BELLT...........0cccccccessseeeecceeceeeeeeenteeeeaes VS4956 2
50 |MS21042L4 NUT oo c cece eee e cece eeeeeeeeeeeeeaesaeaaaaeeeeee 3
60 | PE64005-1 BUSHING 2... cc cece ccestetteeeeeeeeeeeeees VS4956 4
70 | AN960-416L VANS) | =] Ore 6
80 | AN4-5A BOLT oo... cccccccccccccceccceecesseceeseeeeeeeeeeeeeeeeeaaas 2
90 | AN4-24A BOLT oo. ceccccc"
216,t_p_120_1176_p000216,00000216.tif,table,detailed_parts_list,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,127,7,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000216.tif,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK vase EODE. FROM| PER
NUMBER To | ASSY
35A 150 | 120-61410-001 _ TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-113) .....0ccceccccee VS4956 2
160 | 120-61610-001 COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113) .....0ccceccccee VS4956 2
170 | 120-40636-001 LINING ASSY, - ARMREST ..0.......cccccce VS4956 3
180 | 120-41475-001 COVER, TRIM, FRONT.......ccccccccccceeecne VS4956 3
190 | 120-41474-002 _ COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
200 | 120-41231-001 _COVER, TRIM, REAR - MOVABLE
ARMREST ooo. ccessossssessosseeseesestteeeretenteeeeeee VS4956 2
ATTACHING PARTS
210 | PE17001-3PR PLUG, NYLON oo ..ccccccccscccessssssteeeeseteneeenee VS4956 3
220 | NAS1096-1-8 SCREW oievcccccssseesessssssseessesteeeteesventesensveneere 3
230 | AN960-8 NS) 5 3
240 | MS24693-C26 SCREW ooocccccccecccessssseeesssseteeeseseeesennnneeesee 16

-ITEM NOT ILLUSTRATED

"
217,t_p_120_1176_p000217,00000217.tif,blank_candidate,blank_candidate,high,blank_candidate,,blank_candidate,auto_seeded,auto_seeded_pending_audit,False,low,,,0,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000217.tif,
218,t_p_120_1176_p000218,00000218.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,89,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000218.tif,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
40
Wha
200 SN 0 . iy
a IN mo .
230 () (B) ~
Ce SF o
S
<n 10 » <i <_”
Ce ES |
</ 60 ey, onal (A)
lane © PRI
ia Sao
10 SX
150 170
(C) a
120 | 89 80
220 280 Se H0 80
10 240 \ 100 ' ai
aan ae 90 90 / a dF) 10
a | | ” (B) 110 | Le 90\ |
ole 0 100 36 ""I Ch 120
250-—°
Double Passenger Seat (120-61382-003)
Figure 36
Sheet 1
EFFECTIVITY: ALL 25-21 -00 age 1159
Sep 30/98
"
219,t_p_120_1176_p000219,00000219.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,185,9,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000219.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER To | ASSY
36 - | 120-61382-003 DOUBLE PASSENGER SEAT ASSV............ VS4956 |304/999| REF
1 | 120-29068-071 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-94) ooo ocecccceceessssteeesesstenseeeseneeee VS4956 1
10 | 120-33774-001 LINING ASSY., SEAT BOTTOM .........000.-- VS4956 2
20 | 120-42221-001 _ LINING ASSY., SEAT BACKREST............. VS4956 2
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST ...........--- VS4956 2
40 | 120-45726-001 COVER, PLASTIC ......0ccccccccssseeseeceneeeeen vs4956| A 2
50 | 120-36842-001 . STOWAGE ASSY., LIFE JACKET...........-. VS4956 2
ATTACHING PARTS
60 | 1002-F . FASTENER BUTTON, MALE... E075221 8
70 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE... 8
80 | PE915051-1-PT SEAT BELT cece cecscesccccssesteeseseenteeseseeeeen VS4956 2
ATTACHING PARTS
90 |MS21042L4 NUT occ cccsoseseessssssseeessesteseesessneesenven"
220,t_p_120_1176_p000220,00000220.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,186,8,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000220.tif,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
36 ATTACHING PARTS
-185 | 1002-F . FASTENER BUTTON, MALE.................02. E075221 4
-186 | H14-04 NUT cece ccc ce cece aeee nae seae cnt eeeeeeeseeeeeeees V15653 4
-187 | AN960-3L © WASHER 2... eee ccccececcceeetsnsssessaeeeeenees 4
-188 | MS24693-C5 SCREW ooo. cccccccceecsseaeeeeeeeeeeeeeeeeeeeeeeene 4
190 | 120-61410-001 . TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-113) 0.0... VS4956 2
200 | 120-47462-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113) 0.0... VS4956 | 304/315 2
-201 | 120-61610-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113) 0.0... VS4956 | 316/999 2
210 | 120-41475-001 . COVER, TRIM, FRONT................cceeeeees VS4956 2
220 | 120-40636-001 . LINING ASSY, - ARMREST ............00::cee VS4956 2
230 | 120-41784-002 . COVER, TRIM, LATERAL .................0ce VS4956 1
240"
221,t_p_120_1176_p000221,00000221.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,109,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000221.tif,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

40

SN NON

WAN ~

[Ls ~7\

\\

\\

WW

\\

~eQN ‘|

\\ \

Saad NS

a

20

180

Vy

A

30

20

30

70

<

<>

60

G

Al (~) ©

<ENN

SOM”

<>

fA

(A

CIE

50

QQ

Jy

(A) ©)

(FL

190

10

Sa

<F

220

YQ

240

cai

200

240

©) ©

SX

y

7

Si

SY

140

10

260

150

170

250

230

(D) «0 160

80

120

80

110

190

240

80

200

100

220 \

A

QO

90 90° /

110

GL

90

240 |

100 100

Sy,

130

J]

120

260

110

100

250 —

230—

120TP250048.MCE

Double Passenger Seat (120-61382-007)

Figure 37

Sheet 1

EFFECTIVITY: ALL

25-21-00 Page 1162

Sep 30/98
"
222,t_p_120_1176_p000222,00000222.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,196,8,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000222.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
37 - | 120-61382-007 DOUBLE PASSENGER SEAT ................06. VS4956 | 304/999} REF
1 | 120-29068-073 . STRUCTURE, ASSY. (SEE FIGURE
29-21-00-99) occ cece eee ee eee eteeeeees VS4956 1
10 | 120-337 74-001 . LINING ASSY., SEAT BOTTOM................ VS4956 2
20 | 120-42221-001 . LINING ASSY., SEAT BACKREST.............. VS4956 2
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST ............... VS4956 2
40 | 120-45726-001 . COVER, PLASTIC... ceceeceeennees VS4956 A 2
50 | 120-36842-001 . STOWAGE ASSY., LIFE JACKET.............. VS4956 2
ATTACHING PARTS
60 | 1002-F . FASTENER BUTTON, MALE.................02. E075221 8
70 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE ... 8
80 | PE915051-1-PT / SEAT BELT... ccccccccensssneesseeeeeeeees VS4956 2
ATTACHING PARTS
90 | MS21042L4 NC re 3
100 | PE64005-1 SS) OLS) a C 4
110 | NAS1149C043"
223,t_p_120_1176_p000223,00000223.tif,table,detailed_parts_list,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,131,5,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000223.tif,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER To | ASSY
37 ATTACHING PARTS
-185 | 1002-F . FASTENER BUTTON, MALE...0....-.ccccsece E075221 4
-186 |H14-04 NUT osccsssesesesssseseessestvnssestneesestentesenetneeee 15653 4
-187 | AN960-3L WASHER. esssesscesssssseeeseseetteeestnteeeveteee 4
-188 | MS24693-C5 SCREW oeeccccceescessesssessessseseneeesstineeesvenseen 4
190 | 120-40636-001 LINING ASSY, - ARMREST ..0.......cccce- VS4956 3
200 | 120-41475-001 COVER, TRIM, FRONT 0.0...cccccccccccscseeeeeee VS4956 3
210 | 120-41474-002 _ COVER, TRIM, REAR-FIXED ARMREST. VS4956 1
220 | 120-41231-001 COVER, TRIM,REAR-MOVABLEARMREST \VS4956 2
ATTACHING PARTS
230 | PE17001-3PR PLUG, NYLON 0oocccccccccsscetesseeesetteeseeeeeeen 3
240 | MS24693-C26 SCREW oeececccceccessseessessesessestnseesssinsseesenseen 10
250 | NAS1096-1-8 SCREW oeecccccecssssscssseseseessstessesstneeesvenneee 3
260 | AN960C8"
224,t_p_120_1176_p000224,00000224.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,100,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000224.tif,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

50

210

AN

SX

30

2

a

‘N)

\\

N

40

290 190

\

30

200

A) ©

80

40

d/\,

o;

<N

a+

ae

(ZL)

CIE

60

SF

QD

<JIP

(A) 8)

220

10

240

Q

1S.

230

290

is

290

©) ©

QQ

SY

Lf

p

280

20

SS

180

170

26

eal

(D) a

90 9

220 290

90

230

250 \

Cl

OS

140

110

140

110

100 100

290 |

SY

7

130

120

280

270 —

110

100

260-—*

120TP250049.MCE

Double Passenger Seat (120-61382-005)

Figure 38

Sheet 1

EFFECTIVITY: ALL

25-21-00

Page 1165

Sep 30/98
"
225,t_p_120_1176_p000225,00000225.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,193,10,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000225.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK Maer EODE. FROM| PER
NUMBER To | ASSY
38 - | 120-61382-005 DOUBLE PASSENGER SEAT ASSV............ vS4956 | 304/999| REF
1 | 120-29068-079 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-106).....cecececcccescseteeesesteesseeeneeen VS4956 1
10 | 120-61536-001 LINING ASSY., SEAT BOTTOM .........000.-- VS4956 1
20 | 120-61538-001 LINING ASSY., SEAT BOTTOM .........000.-- VS4956 1
30 | 120-42221-001 _ LINING ASSY., SEAT BACKREST............. VS4956 2
40 | 120-42070-001 . FOAM ASSY., SEAT BACKREST ...........--- VS4956 2
50 | 120-45726-001 COVER, PLASTIC ......0ccccccccssseeseeceneeeeen vs4956| A 2
60 | 120-36842-001 . STOWAGE ASSY., LIFE JACKET...........-. VS4956 2
ATTACHING PARTS
70 | 1002-F . FASTENER BUTTON, MALE... E075221 8
80 | 1002-C/6 . SUPPORT, FASTENER BUTTON MALE... 8
90 | PE915051-1-PT SEAT BELT cece cecscesccccssesteeseseenteeseseeeeen VS4956 2
ATTACHING "
226,t_p_120_1176_p000226,00000226.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,187,8,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000226.tif,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER STOCK vase EODE. FROM | PER
NUMBER TO ASSY
38 ATTACHING PARTS
-185 | 1002-F . FASTENER BUTTON, MALE.................02. E075221 4
-186 | H14-04 NUT cece ccc ce cece aeee nae seae cnt eeeeeeeseeeeeeees V15653 4
-187 | AN960-3L © WASHER 2... cece cccecccceeeeeeeceescnttteasanaees 4
-188 | MS24693-C5 1 Od at || ee 4
200 | 120-61410-001 . TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-113) 0.0... VS4956 2
210 | 120-47462-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113) 0.0... VS4956 | 304/315 2
-211 | 120-61610-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-113) 0.0... VS4956 | 316/999 2
220 | 120-40636-001 . LINING ASSY, - ARMREST ............00::cee VS4956 3
230 | 120-41475-001 . COVER, TRIM, FRONT................cceeeeees VS4956 3
240 | 120-41474-002 . COVER, TRIM, REAR-FIXED ARMREST.. VS4956 1
250 | 120-41231-001 .COVER,TRIM,REAR-MOVABLEARM"
227,t_p_120_1176_p000227,00000227.tif,table,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,95,1,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000227.tif,"MAINTENANCE MANUAL WITH

-< EMBRAER

ILLUSTRATED PARTS LIST

40

200

SX

a

WN

\

20

30

2

a

\

N

20

310 180

IO

70

190

30

oe

Li

<>

Ei, ® ©

(74)

((

50

<>

220

gS

260

<

QQ

t]

230

300

O

300

(C) ©

SJ

REZ

©,

y

140

10

290

150

170

zo

(D) o

80 9809

120

OD

220 300

10

80

240

100

250 \,

90 90° /

4

<L

110

300

100 100

90

C7

130

A

120

29

110

100

280

270-°

120TP250050.MCE

Double Passenger Seat (120-42548-001/501)

Figure 39

Sheet 1

EFFECTIVITY: ALL

25-21-00 Page 1168

Sep 30/98
"
228,t_p_120_1176_p000228,00000228.tif,table,detailed_parts_list,high,detailed_parts_list,,detailed_parts_list,auto_seeded,auto_seeded_pending_audit,False,low,,,206,10,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000228.tif,"€& emenncr

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM| PARTNUMBER | STOCK vase EODE. FROM| PER
NUMBER To | ASSY
39 - | 120-42548-001 DOUBLE PASSENGER SEAT ASSY........... vs4956| A REF
- | 120-42548-501 DOUBLE PASSENGER SEAT ASSY............ VS4956 | 172/999] REF
1 | 120-29068-017 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-88) ooo. eecccecccssececsseeesetetteentneeeenee vs4956| A 1
-2 | 120-29068-039 . STRUCTURE, ASSY. (SEE FIGURE
25-21-00-88) ooo. ceeccecccsssceteeesestetteeeeneeeenee vS4956 | 172/999] 1
10 | 120-33774-001 LINING ASSY., SEAT BOTTOM... VS4956 2
20 | 120-42221-001 _ LINING ASSY., SEAT BACKREST.............. VS4956 2
30 | 120-42070-001 . FOAM ASSY., SEAT BACKREST 0.0.0... VS4956 2
40 | 120-45726-001 COVER, PLASTIC .......ccccccccscsc cece vs4956| 8B 2
50 | 120-36842-001 . STOWAGE ASSY,, LIFE JACKET... VS4956 2
ATTACHING PARTS
60 | 1002-F . FASTENER BUTTON, MALE ..0.....ccccccoce E075221 8
70 | 1002-C/6 . SUPPORT, FAST"
